Month,Day,Year,Birthday,Name,Description
1,1,1449,1/1/1449,Lorenzo de'Medici, (The Magnificent) of Florence
1,1,1481,1/1/1481,Huldrych Zwingli, Swiss Protestant reformer
1,1,1735,1/1/1735,Paul Revere, US patriot and The British are coming
1,1,1745,1/1/1745,General Anthony Wayne," military leader (""Mad Anthony"")"
1,1,1752,1/1/1752,Elizabeth Griscom, (Betsy) Ross--flag maker
1,1,1819,1/1/1819,Arthur Hugh Clough, poet and friend of Matthew Arnold
1,1,1854,1/1/1854,Sir James Frazer, British anthropologist and author (The Golden Bough)
1,1,1864,1/1/1864,Alfred Stieglitz, father of modern photography
1,1,1867,1/1/1867,Lew Fields, comedian (of Weber & Fields)
1,1,1873,1/1/1873,Mariano Azuela, Mexican novelist (The Flies and The Bosses)
1,1,1879,1/1/1879,E.M. Forster, English novelist (Howard's End and A Passage to India)
1,1,1895,1/1/1895,J Edgar Hoover, Mr FBI
1,1,1900,1/1/1900,Xavier Cugat, Bandleader
1,1,1909,1/1/1909,Barry Goldwater (R), former US senator from Arizona
1,1,1909,1/1/1909,Dana Andrews, Actor (Battle of the Bulge and Laura)
1,1,1909,1/1/1909,John Glenn, astronaut
1,1,1911,1/1/1911,Hank Greenberg, Detroit Tiger Hall of Famer
1,1,1919,1/1/1919,Carole Landis,
1,1,1919,1/1/1919,J D Salinger, author of 'Catcher in the Rye'
1,1,1922,1/1/1922,Ernest Hollings (D), US senator from SC
1,1,1925,1/1/1925,George Conner, NFL tackle and linebacker (Chicago Bears)
1,1,1927,1/1/1927,Yuri Grigorovich, Russian choreographer
1,1,1932,1/1/1932,Terry Moore, in Los Angeles Calif
1,1,1942,1/1/1942,Country Joe McDonald,
1,1,1942,1/1/1942,Gennadi V. Sarafanov, Soviet cosmonaut (Soyuz 15)
1,2,1647,1/2/1647,Nathaniel Bacon, leader of Bacon's Rebellion of Va. (1676)
1,2,1727,1/2/1727,James Wolfe, commander of British Army at capture of Quebec
1,2,1861,1/2/1861,Helen Herron Taft, 1st lady
1,2,1863,1/2/1863,Lucia Zarate, became lightest known adult human (2.1 kg at 17)
1,2,1920,1/2/1920,Isaac Asimov, scientist-writer
1,2,1922,1/2/1922,Renata Tebaldi, lyric soprano
1,2,1927,1/2/1927,Gino Marchetti, NFL defensive end (Dallas Texans and Baltimore Colts)
1,2,1927,1/2/1927,Richard Belmont Ray, Democrat-Georgia
1,2,1936,1/2/1936,Roger Miller, singer (King of the Road)
1,3,106,1/3/106,Cicero, Roman statesman
1,3,1543,1/3/1543,Juan Cabrillo, discoverer of California
1,3,1793,1/3/1793,Lucretia Coffin Mott, Woman's right leader
1,3,1840,1/3/1840,Father Damien, helped lepers in Hawaii
1,3,1870,1/3/1870,Henry Handel Richardson, Australian novelist (Richard Mahoney)
1,3,1879,1/3/1879,Grace Anna Goodhue Coolidge, 1st lady
1,3,1883,1/3/1883,Clement R. Attlee (Labour), British prime minister (1945-51)
1,3,1892,1/3/1892,J.R.R. Tolkien, REAL Lord of the Rings
1,3,1892,1/3/1892,J.R.R.Tolkien,
1,3,1905,1/3/1905,Ray Milland, Actor (Dial M for Murder and The Lost Weekend)
1,3,1909,1/3/1909,Victor Borge, pianist and comedian--Denmark
1,3,1916,1/3/1916,Betty Furness, in NYC
1,3,1918,1/3/1918,Maxine Andrews, of singing Andrew Sister
1,3,1928,1/3/1928,Jeanne Moreau, in Paris France
1,3,1930,1/3/1930,Robert Loggia, Actor (1st Love and An Officer & a Gentleman)
1,3,1939,1/3/1939,Bobby Hull, hockey player
1,3,1945,1/3/1945,Stephen Stills, singer and songwriter
1,3,1947,1/3/1947,Melanie (Safka), in Astoria Queens
1,3,1950,1/3/1950,Victoria Principal, Actress (Earthquake and Dallas) in Japan
1,4,1581,1/4/1581,Bishop James Ussher, calculated that earth began Nov. 23-4004 BC
1,4,1643,1/4/1643,Sir Issac Newton, scientist (Whatever goes up)
1,4,1785,1/4/1785,Jacob Grimm, German librarian and philologist and fairy tale collector
1,4,1789,1/4/1789,Benjamin Lundy, philanthropist and abolitionist
1,4,1797,1/4/1797,Wilhelm Beer, German amateur who helps to construct 1st moon map
1,4,1809,1/4/1809,Louis Braille, developed reading system for blind
1,4,1813,1/4/1813,Sir Issac Pitman, shorthand inventor
1,4,1838,1/4/1838,Charles Stratton, (alias General Tom Thumb and famous short person)
1,4,1914,1/4/1914,Jane Wyman, in St Joseph Missouri 1st Mrs Ronald Reagan
1,4,1930,1/4/1930,Barbara Rush, in Denver Colorodo (Hombre and When Worlds Collide)
1,4,1930,1/4/1930,Don Shula, NFL coach (Miami Dolphins)
1,4,1930,1/4/1930,Sorrell Brooke, Actor
1,4,1935,1/4/1935,Floyd Patterson, world heavyweight champ (1956-59 and 1960-62)
1,4,1937,1/4/1937,Dyan Cannon, Former Mrs Cary Grant and Actress in Tacoma Wash
1,4,1943,1/4/1943,Tom Wilkinson, CFL quarterback (Edmonton Eskimos)
1,5,1592,1/5/1592,Shah Jahan, Mughal emperor of India (1628-58) and builder of Taj Mahal
1,5,1779,1/5/1779,Stephen Decatur, early American Naval hero
1,5,1846,1/5/1846,Rudolf Eucken, German Idealist philosopher (Nobel 1908)
1,5,1855,1/5/1855,King Camp Gillette, inventor of safety razor
1,5,1876,1/5/1876,Konrad Adenauer, German Chancellor
1,5,1895,1/5/1895,Jeannette Piccard, balloonist and Episcopal priest
1,5,1911,1/5/1911,Jean-Pierre Aumont, Actor (Cat & Mouse and Happy Hooker)
1,5,1921,1/5/1921,Jean," grand duke of Luxembourg (1964-, )"
1,5,1925,1/5/1925,Nellie Tayloe Ross, 1st woman governor of Wyoming
1,5,1926,1/5/1926,Claude (Buddy) Young, NFL running back (Yankees and Texans and Colts)
1,5,1928,1/5/1928,Walter Mondale (D), 42nd US vp (1977-81)
1,5,1938,1/5/1938,Jim Otto, NFL center (Oakland Raiders)
1,5,1938,1/5/1938,Juan Carlos I," king of Spain (1975-, )"
1,5,1940,1/5/1940,Dany Saval,
1,5,1946,1/5/1946,Diane Keaton, Actress (Annie Hall and Little Drummer Girl) LA
1,5,1954,1/5/1954,Pamela Sue Martin,
1,6,1412,1/6/1412,Joan of Arc, martyr
1,6,1799,1/6/1799,Jedediah Smith, fur trader and explorer
1,6,1811,1/6/1811,Charles Sumner, leading Reconstruction Senator
1,6,1823,1/6/1823,Gustave Dore, illustrator (Inferno and Rime of Ancient Mariner)
1,6,1838,1/6/1838,Max Bruch, German composer
1,6,1842,1/6/1842,Clarence King, geologist and mining engineer
1,6,1854,1/6/1854,Sherlock Holmes, according to Arthur Conan Doyle
1,6,1871,1/6/1871,Aleksandr Scriabin, Russian composer
1,6,1878,1/6/1878,Carl Sandburg, poet and biographer of Lincoln (The People and Yes)
1,6,1880,1/6/1880,Tom Mix, silent screen cowboy Actor (Dick Turpin)
1,6,1882,1/6/1882,Samuel Rayburn (D), speaker of House (1940-57)
